Company Name,Industry,Employee Count,Company Type,Years in Operation,Headquarters,Rating,Review Count,Salary Data,Interview Data,Job Openings,Benefits
TCS,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old,Mumbai,3.8,74.9k,8.6L,7.6k,1.1k,11.6k
Accenture,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old,Dublin,4.0,46.7k,5.9L,5.4k,36.4k,7.2k
Cognizant,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old,Teaneck. New Jersey.,3.9,41.9k,5.7L,4.3k,572,5.9k
Wipro,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old,Bangalore/Bengaluru,3.8,40.3k,4.3L,4.3k,227,5.1k
Capgemini,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old,Paris,3.8,34.5k,4.3L,3.5k,639,4.1k
HDFC Bank,Banking,1 Lakh+ Employees,Public,30 years old,Mumbai,4.0,33.7k,1.3L,1.8k,185,3.3k
ICICI Bank,Banking,1 Lakh+ Employees,Public,30 years old,Vapi,4.0,33.4k,1.4L,2.1k,30,3.8k
Infosys,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old,Pune,3.8,32.5k,4.6L,5.7k,1.1k,5.2k
HCLTech,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old,Noida,3.7,29.3k,3L,2.9k,206,4.1k
Tech Mahindra,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old,Hyderabad / Secunderabad,3.7,27.7k,2.5L,2.8k,531,3.6k
Genpact,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old,Hyderabad / Secunderabad,3.9,26.3k,1.9L,2.3k,532,3.7k
Axis Bank,Banking,50k-1 Lakh Employees,Public,31 years old,Vapi,3.9,22k,95.3k,1.2k,222,2.2k
Teleperformance,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old,Gurgaon / Gurugram,3.8,22.9k,85.3k,1.4k,242,2.1k
Concentrix Corporation,BPO,50k-1 Lakh Employees,Public,41 years old,Gurgaon / Gurugram,3.9,21.6k,1.1L,1.3k,86,3.3k
Jio,Telecom,50k-1 Lakh Employees,Public,6 years old,Vapi,4.0,20.3k,65.6k,1.3k,197,2.6k
Amazon,Internet,1 Lakh+ Employees,Public,30 years old,Hyderabad / Secunderabad,4.1,21.1k,1.2L,3.9k,145,4.3k
IBM,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old,Bangalore / Bengaluru,4.1,19.4k,2.2L,1.8k,1.9k,2.8k
Reliance Retail,Retail,1 Lakh+ Employees,18 years old,Vapi +1014 more,Vapi,4.0,19.2k,61.7k,1.3k,162,2k
HDB Financial Services,NBFC,1 Lakh+ Employees,17 years old,Vapi +959 more,Vapi,4.0,17.7k,49.7k,655,133,1.5k
Larsen & Toubro Limited,Engineering & Construction,10k-50k Employees,Public,86 years old,Vapi,4.1,16k,78.1k,1.2k,102,2.9k
